customer_id,month,persona,income,spending,savings,investments,loan_repayment,remaining_loan_balance,balance
1940815,2024-01,Risk-Taker,74002.01,38291.68,23196.98,9494.71,3018.64,64505.36,283727.39
1940815,2024-02,Risk-Taker,74148.39,51755.96,13750.49,5680.71,2961.23,61544.13,243044.72
1940815,2024-03,Risk-Taker,76574.82,48891.48,21355.2,4911.58,1416.56,60127.56,214337.45
1940815,2024-04,Risk-Taker,72941.42,44302.37,23631.11,4008.5,999.44,59128.12,192867.18
1940815,2024-05,Risk-Taker,65984.88,37369.73,18308.82,9700.31,606.03,58522.09,173685.25
1940815,2024-06,Risk-Taker,71313.08,40855.6,19484.38,10004.42,968.68,57553.41,151845.57
1940815,2024-07,Risk-Taker,68064.88,39643.82,20673.08,7177.95,570.03,56983.38,132663.71
1940815,2024-08,Risk-Taker,72116.23,43848.65,15918.0,10593.0,1756.58,55226.8,103506.12
1940815,2024-09,Risk-Taker,69456.02,45125.1,15693.72,5812.73,2824.46,52402.33,71540.91
1940815,2024-10,Risk-Taker,68675.68,46427.23,14908.24,6565.23,774.99,51627.35,39575.2
1940815,2024-11,Risk-Taker,69710.95,43788.84,13580.79,9598.73,2742.59,48884.76,7104.49
1940815,2024-12,Risk-Taker,71711.77,38952.61,22327.81,9275.38,1155.98,47728.77,-10212.52
12657432,2024-01,Spender,141739.65,108715.19,26175.72,3025.27,3823.47,410363.53,-13903.67
12657432,2024-02,Spender,140904.16,110155.35,16531.46,7703.47,6513.88,403849.65,-113656.27
12657432,2024-03,Spender,147021.34,127356.82,7316.75,8943.49,3404.29,400445.36,-236653.46
12657432,2024-04,Spender,140191.5,110627.13,15915.11,8691.74,4957.51,395487.85,-335888.4
12657432,2024-05,Spender,142788.78,114983.46,17672.38,6101.47,4031.47,391456.38,-436925.87
12657432,2024-06,Spender,134649.18,97659.42,25479.83,4791.48,6718.45,384737.94,-515584.33
12657432,2024-07,Spender,144496.58,117065.57,17269.49,4445.14,5716.38,379021.56,-620874.52
12657432,2024-08,Spender,142763.9,100005.46,25007.69,11135.27,6615.49,372406.07,-701931.03
12657432,2024-09,Spender,127026.64,101965.19,18988.09,3488.46,2584.9,369821.17,-787318.6
12657432,2024-10,Spender,153188.2,122331.87,14634.57,8867.21,7354.56,362466.61,-901927.09
12657432,2024-11,Spender,148258.43,128580.63,8584.51,7696.92,3396.37,359070.24,-1024934.74
12657432,2024-12,Spender,128181.03,114923.62,5402.3,3412.16,4442.95,354627.29,-1138728.41
10174833,2024-01,Spender,158920.82,139092.14,2053.56,11136.9,6638.23,0.0,69336.03
10174833,2024-02,Spender,168299.67,139268.33,20378.47,4600.03,4052.84,0.0,-53376.66
10174833,2024-03,Spender,165060.14,122733.71,33432.3,4823.43,4070.7,0.0,-146507.59
10174833,2024-04,Spender,172063.33,153896.73,3301.31,6712.95,8152.34,0.0,-304919.71
10174833,2024-05,Spender,165155.75,141704.77,8227.59,8177.65,7045.74,0.0,-445033.76
10174833,2024-06,Spender,169336.33,125491.39,29642.99,9638.49,4563.46,0.0,-544963.69
10174833,2024-07,Spender,167335.67,132471.64,14896.01,12106.04,7861.98,0.0,-669796.0
10174833,2024-08,Spender,170609.95,141098.15,17414.21,3643.49,8454.11,0.0,-801751.88
10174833,2024-09,Spender,165909.55,145097.54,9545.61,7621.41,3645.0,0.0,-940567.74
10174833,2024-10,Spender,153419.45,132503.24,10699.73,4990.52,5225.97,0.0,-1067347.69
10174833,2024-11,Spender,158709.08,117949.28,29800.91,6490.19,4468.71,0.0,-1159640.26
10174833,2024-12,Spender,144873.53,112070.98,24502.35,3378.46,4921.74,0.0,-1251961.7
16497775,2024-01,Spender,123852.01,99598.18,14103.31,3984.48,6166.04,992965.96,374255.3
16497775,2024-02,Spender,115010.07,90448.4,18597.09,2429.09,3535.5,989430.46,298989.94
16497775,2024-03,Spender,129597.74,108522.74,8595.33,7113.44,5366.23,984064.23,194051.98
16497775,2024-04,Spender,138955.63,99382.28,31203.62,4575.22,3794.51,980269.72,122307.56
16497775,2024-05,Spender,138435.61,116530.28,5584.24,10745.31,5575.78,974693.93,6323.0
16497775,2024-06,Spender,124002.57,109748.05,6454.38,3793.07,4007.07,970686.86,-100788.09
16497775,2024-07,Spender,134799.63,99360.66,20154.6,8824.72,6459.65,964227.21,-186012.56
16497775,2024-08,Spender,118887.07,88537.96,23086.17,3265.52,3997.42,960229.8,-255298.49
16497775,2024-09,Spender,113724.96,90789.18,14586.52,5038.82,3310.45,956919.35,-334559.66
16497775,2024-10,Spender,132144.44,107168.26,10616.04,9649.39,4710.75,952208.6,-435340.15
16497775,2024-11,Spender,113934.35,80790.38,22884.14,5065.97,5193.87,947014.73,-498186.96
16497775,2024-12,Spender,126416.09,95627.75,18373.0,6890.23,5525.1,941489.63,-580622.3
6164702,2024-01,Saver,57172.91,24112.74,16631.06,12738.98,3690.13,19104.87,43891.15
6164702,2024-02,Saver,55930.61,31195.72,11455.76,9603.44,3675.7,15429.18,20955.66
6164702,2024-03,Saver,63901.3,31652.4,15085.15,13432.2,3731.54,11697.64,1328.48
6164702,2024-04,Saver,51312.59,29804.48,7020.55,10476.42,4011.14,7686.49,-24942.77
